State,District,Latitude,Longitude,Soil_phh2o_0-5cm,Soil_ocd_0-5cm,Soil_clay_0-5cm,Soil_sand_0-5cm,Soil_silt_0-5cm,Soil_bdod_0-5cm,Year,avg_temp,avg_humidity,avg_windspeed,avg_solarradiation
Andhra Pradesh,Chittoor,13.2026484,79.0032253,6.8,24.8,29.9,40.7,29.4,1.43,2019 - 2020,25.80770492,69.87368852,2.626010929,18.78117486
Andhra Pradesh,Chittoor,13.2026484,79.0032253,6.8,24.8,29.9,40.7,29.4,1.43,2020 - 2021,24.61780822,75.29728767,2.408958904,18.31189041
Andhra Pradesh,Chittoor,13.2026484,79.0032253,6.8,24.8,29.9,40.7,29.4,1.43,2021 - 2022,24.85728767,75.32345205,2.344794521,18.13657534
Andhra Pradesh,Chittoor,13.2026484,79.0032253,6.8,24.8,29.9,40.7,29.4,1.43,2022 - 2023,24.74076712,73.87484932,2.361534247,18.44194521
Andhra Pradesh,East godavari,16.9956639,81.7154378,6.7,34.9,28.3,37.6,34.1,1.35,2001 - 2002,27.85134247,70.86468493,2.349753425,18.57731507
Andhra Pradesh,East godavari,16.9956639,81.7154378,6.7,34.9,28.3,37.6,34.1,1.35,2002 - 2003,28.21290411,68.4529589,2.33509589,18.72276712
Andhra Pradesh,East godavari,16.9956639,81.7154378,6.7,34.9,28.3,37.6,34.1,1.35,2003 - 2004,26.99778689,75.21806011,2.296338798,18.33532787
Andhra Pradesh,East godavari,16.9956639,81.7154378,6.7,34.9,28.3,37.6,34.1,1.35,2004 - 2005,27.52873973,73.06608219,2.189452055,18.84819178
Andhra Pradesh,East godavari,16.9956639,81.7154378,6.7,34.9,28.3,37.6,34.1,1.35,2005 - 2006,26.99936986,74.91254795,2.124958904,18.24021918
Andhra Pradesh,East godavari,16.9956639,81.7154378,6.7,34.9,28.3,37.6,34.1,1.35,2006 - 2007,,,,
